name,pos,completion_pts,pass_yd_pts,pass_td_pts,pass_int_pts,rush_attempt_pts,rush_yd_pts,rush_td_pts,rec_pts,rec_yd_pts,rec_td_pts,fumble_lost_pts,fg,fg_missed,xpt,total_pts,total_pts_rank,adp_rank,MFL,FFC,ESPN,CBS,MDC,FPros,adp_avg,drafted
Drew Brees (NO),QB,109.5000,203.8240,206.5000,-16.7000,4.0750,2.5996,6.0000,NA,NA,NA,-3.1000,NA,NA,NA,512.6986,1.0,13.0,12.0,21.0,13.0,8.0,11.0,13.0,13.0,0.0
Aaron Rodgers (GB),QB,92.6750,179.5080,190.0000,-10.0000,14.1750,18.2843,15.6000,NA,NA,NA,-3.7000,NA,NA,NA,496.5423,2.0,12.0,9.0,26.0,8.0,12.0,10.0,12.0,12.8,0.0
Peyton Manning (DEN),QB,101.9750,194.2080,192.5000,-12.2000,4.4750,1.1256,1.2000,NA,NA,NA,-2.7000,NA,NA,NA,480.5836,3.0,20.0,17.0,35.0,15.0,15.0,23.0,20.0,20.8,0.0
Tom Brady (NE),QB,97.1000,183.6440,167.0000,-10.7000,7.3250,3.7453,12.6000,NA,NA,NA,-2.3000,NA,NA,NA,458.4143,4.0,30.0,26.0,45.0,19.0,27.0,46.0,26.0,31.5,0.0
Matt Ryan (ATL),QB,100.7000,189.2240,161.5000,-12.8000,8.2000,6.6598,4.8000,NA,NA,NA,-3.3000,NA,NA,NA,454.9838,5.0,39.0,34.0,55.0,36.0,32.0,47.0,38.0,40.3,0.0
Matthew Stafford (DET),QB,104.8250,195.3640,145.0000,-15.8000,6.1500,6.2980,8.4000,NA,NA,NA,-3.0000,NA,NA,NA,447.2370,6.0,60.0,49.0,67.0,58.0,42.0,83.0,52.0,58.5,0.0
Cam Newton (CAR),QB,75.5250,156.3400,106.5000,-13.2000,30.5250,48.2601,41.4000,NA,NA,NA,-3.9000,NA,NA,NA,441.4501,7.0,35.0,32.0,51.0,31.0,33.0,38.0,34.0,36.5,0.0
Andrew Luck (IND),QB,90.2750,175.7800,136.0000,-13.8000,15.5000,18.0967,17.4000,NA,NA,NA,-4.7000,NA,NA,NA,434.5517,8.0,61.0,51.0,74.0,65.0,51.0,62.0,62.0,60.8,0.0
Tony Romo (DAL),QB,100.3250,190.6240,145.5000,-15.1000,5.7750,3.2897,4.8000,NA,NA,NA,-3.6000,NA,NA,NA,431.6137,9.0,71.0,66.0,81.0,75.0,59.0,98.0,69.0,74.7,0.0
Colin Kaepernick (SF),QB,76.6250,150.3280,108.5000,-11.7000,28.1000,44.4210,31.8000,NA,NA,NA,-6.1000,NA,NA,NA,421.9740,10.0,50.0,40.0,66.0,37.0,52.0,93.0,41.0,54.8,0.0
Russell Wilson (SEA),QB,74.1500,143.4040,124.5000,-12.1000,23.5500,31.0411,22.2000,NA,NA,NA,-3.7000,NA,NA,NA,403.0451,11.0,74.0,64.0,87.0,60.0,72.0,109.0,61.0,75.5,0.0
Robert Griffin III (WAS),QB,72.0750,138.1880,114.5000,-9.3000,22.5750,39.2486,31.2000,NA,NA,NA,-6.0000,NA,NA,NA,402.4866,12.0,65.0,52.0,75.0,45.0,54.0,111.0,53.0,65.0,0.0
Eli Manning (NYG),QB,86.3000,168.1160,142.5000,-14.4000,6.2000,2.3450,4.8000,NA,NA,NA,-3.0000,NA,NA,NA,392.8610,13.0,94.0,84.0,111.0,91.0,84.0,122.0,89.0,96.8,0.0
Andy Dalton (CIN),QB,81.6500,153.7480,130.0000,-16.3000,10.4500,9.9763,6.0000,NA,NA,NA,-3.5000,NA,NA,NA,372.0243,14.0,113.0,99.0,124.0,123.0,103.0,175.0,114.0,123.0,0.0
Josh Freeman (TB),QB,81.0000,157.3240,126.5000,-16.5000,10.3750,11.6245,3.6000,NA,NA,NA,-4.7000,NA,NA,NA,369.2235,15.0,162.0,151.0,177.0,145.0,135.0,219.0,159.0,164.3,0.0
Carson Palmer (ARI),QB,86.0750,165.3920,123.0000,-16.7000,5.1000,2.1507,1.2000,NA,NA,NA,-3.7000,NA,NA,NA,362.5177,16.0,132.0,142.0,132.0,134.0,121.0,164.0,138.0,138.5,0.0
Philip Rivers (SD),QB,87.2250,160.7880,125.0000,-17.4000,6.2750,3.0619,0.6000,NA,NA,NA,-5.4000,NA,NA,NA,360.1499,17.0,164.0,160.0,189.0,148.0,154.0,143.0,175.0,161.5,0.0
Matt Schaub (HOU),QB,85.3500,161.5480,117.5000,-12.8000,4.9750,1.3936,1.2000,NA,NA,NA,-3.6000,NA,NA,NA,355.5666,18.0,137.0,127.0,142.0,114.0,125.0,211.0,143.0,143.7,0.0
Jay Cutler (CHI),QB,79.9500,152.4200,117.5000,-15.2000,9.4750,11.2359,4.8000,NA,NA,NA,-4.9000,NA,NA,NA,355.2809,19.0,133.0,121.0,130.0,131.0,115.0,199.0,142.0,139.7,0.0
Sam Bradford (STL),QB,83.4500,155.3000,116.5000,-13.7000,7.9250,5.9630,4.2000,NA,NA,NA,-4.7000,NA,NA,NA,354.9380,20.0,147.0,138.0,153.0,128.0,132.0,210.0,150.0,151.8,0.0
